accX,accY,accZ,gyroX,gyroY,gyroZ,Activity
-0.463137,4.214187,9.245224,-0.249643,0.326487,0.008197,1
0.055085,2.380949,6.888076,-0.140381,0.503539,-0.476535,1
-0.464933,1.73594,8.889863,0.196215,0.31439,-0.293695,1
0.126637,1.435964,8.243508,-0.257561,0.245502,-0.462814,1
0.180824,0.228575,8.425379,0.208136,-0.26827,-0.004389,1
0.001198,2.546355,6.426286,-0.201559,0.227155,0.453643,1
-0.165406,2.228117,8.946895,0.051956,-0.142948,-0.079216,1
-0.292043,4.076174,8.541687,-0.106418,0.024192,-0.097639,1
0.260758,4.336482,10.124945,-0.067502,0.290363,0.202094,1
-0.825533,1.617087,7.666757,0.185367,-0.224925,0.033528,1
-0.137265,1.989962,8.735684,0.299768,-0.244922,-0.060556,1
-0.587079,2.450554,6.733747,-0.064226,-0.004029,0.212625,1
0.376916,1.479374,7.764055,0.26004,-0.174103,-0.09086,1
-0.218845,1.583707,12.843592,0.218844,-0.068687,0.119908,1
0.609383,1.732048,7.810458,-0.129342,0.171347,-0.525608,1
0.849633,2.099833,12.271032,0.054314,0.076198,0.228716,1
1.984124,1.742826,8.465197,-0.0355,0.1675,-0.240309,1
1.410367,1.977987,9.768536,0.345234,0.024778,-0.159919,1
0.026196,2.920427,7.237001,-0.292122,0.103462,0.125151,1
-0.829874,1.547332,9.249416,0.195853,-0.106077,0.105918,1
-0.031884,2.501299,9.172476,0.199007,0.004584,0.127657,1
-0.217198,3.031646,9.461076,-0.049141,-0.038717,0.176589,1
1.913471,2.15926,10.1227,-1.144609,0.094722,-0.812992,1
-0.563129,2.557881,12.002042,0.160729,0.775218,0.160592,1
0.476908,1.008752,14.751524,0.061942,0.325897,0.179696,1
0.230072,4.993017,10.469379,0.236236,-0.25847,0.128825,1
-0.281714,3.099455,11.840677,0.039567,-0.228574,-0.061534,1
0.171244,2.930905,6.958729,-0.370107,-0.263907,-0.310842,1
0.006287,3.221301,11.419004,-0.053315,0.117318,0.275838,1
-0.763862,2.159559,7.924072,-0.230337,0.188527,-0.141744,1
-0.29803,3.278183,9.459579,0.122267,0.050317,-0.179351,1
0.255219,2.446812,9.27127,0.0181,-0.03285,-0.006119,1
-1.296604,1.225951,11.331286,0.090916,0.055662,0.122698,1
-1.003064,1.426683,11.584859,0.011559,0.063304,-0.289919,1
1.666035,0.191152,8.465197,0.194168,-0.008459,-0.062438,1
0.659828,0.712069,10.669513,0.539475,-0.019097,-0.352645,1
0.607886,2.30341,11.98842,0.21753,-0.221904,0.043441,1
-0.75997,1.15904,9.871223,-0.099411,-0.31378,-0.096697,1
-0.865201,2.049987,12.176429,-0.317709,-0.012231,0.023882,1
-0.126936,3.458259,7.877668,0.203969,-0.146212,-0.042269,1
0.196392,2.357597,6.426286,0.584888,-0.118629,0.401078,1
0.551603,0.248034,8.974288,-0.029043,-0.350659,-0.318267,1
0.292342,1.561852,8.315807,-0.267617,-0.150521,0.295852,1
0.78856,1.55302,7.023395,-0.031905,0.04678,-0.270376,1
0.48589,1.765129,6.762038,0.043344,0.268127,-0.045119,1
-0.512834,1.583707,10.150242,0.014228,0.174308,0.058187,1
0.282612,1.540447,11.177556,0.303544,0.095165,0.050343,1
-0.536933,2.886298,8.196805,-0.149616,0.321803,-0.055583,1
-0.355511,2.184857,6.916966,-0.014976,-0.087794,-0.248379,1
0.4811,3.344794,10.651101,-0.158594,0.220524,-0.474738,1
-0.096849,4.849615,7.61257,0.193361,0.039464,-0.326592,1
-0.233514,2.850373,9.075477,-0.086388,-0.056769,-0.059533,1
-0.446671,2.159859,7.226373,-0.214639,-0.017358,-0.33747,1
0.32677,3.873645,6.48212,-0.074028,-0.134665,-0.11948,1
-0.779878,0.92822,10.656789,-0.107826,0.238819,-0.013277,1
-0.359403,3.18358,10.385853,-0.071391,-0.605889,0.249789,1
1.329835,1.288521,8.199499,0.150003,0.0287,-0.187711,1
1.317859,1.531914,9.70896,-0.30238,-0.072137,0.350193,1
-0.617915,4.022735,11.620335,0.091597,-0.093827,-0.149178,1
0.891546,1.684597,6.66489,0.125586,0.125889,-0.160914,1
0.609532,0.943039,11.966565,0.114564,-0.253857,-0.007288,1
-0.021705,2.020349,7.158115,0.536017,-0.211066,-0.588864,1
1.001418,1.518891,8.691077,-0.056117,0.49952,0.436179,1
-0.281115,2.089355,7.564969,0.565471,-0.150254,0.38775,1
-0.853525,3.946842,10.566078,-0.213005,-0.002744,-0.020008,1
-0.351319,1.712439,8.04023,-0.085762,0.095524,-0.020854,1
0.556692,2.358645,8.131989,-0.483786,-0.311901,-0.500667,1
-0.079185,0.729283,11.335927,0.116105,0.108737,-0.087482,1
-0.520168,2.212549,6.772217,0.129667,-0.470289,-0.054929,1
0.178728,0.132624,11.185789,0.037178,-0.070153,0.362793,1
-0.212408,2.588118,10.207274,0.202679,-0.017834,0.505965,1
0.421973,1.848955,8.296946,0.038266,0.094648,0.326101,1
-0.388592,2.990481,11.803854,0.037662,-0.143361,0.162488,1
0.578098,0.220042,8.418194,-0.471644,0.373182,-0.061646,1
-0.834515,1.480721,11.371702,0.117336,-0.611435,-0.217773,1
1.138832,0.318538,7.267986,-0.047713,-0.279703,0.133807,1
0.477357,0.5769,8.811876,0.116825,-0.32005,0.092079,1
0.430355,1.51485,7.75687,-0.159346,-0.173157,0.036081,1
-0.159868,2.5968,6.575826,0.134788,-0.257097,0.026362,1
0.266296,1.277593,6.415359,-0.35003,0.135837,-0.174421,1
0.03368,3.324137,7.739506,0.253442,0.524949,-0.22121,1
0.440983,0.978964,11.010653,0.282347,0.010859,-0.202509,1
1.228196,2.280957,8.34829,0.385333,0.10346,-0.325922,1
-0.088017,3.218457,8.443342,-0.041557,0.02799,-0.166318,1
1.498085,2.286346,8.271649,-0.168963,0.216877,-0.416048,1
1.193618,0.908161,7.695497,-0.121965,0.151744,0.244524,1
0.171843,1.667981,7.622898,-0.119387,0.157764,-0.502022,1
-0.877176,2.336192,9.629475,0.21861,0.021251,-0.026957,1
-1.159339,3.428021,9.308842,0.065471,0.221068,-0.343199,1
-0.667013,3.175197,10.815759,0.169033,0.323468,0.0752,1
-0.753234,-0.069007,13.044773,0.100559,0.030501,-0.050308,1
-0.606389,1.053659,7.789651,0.118072,-0.479389,0.106112,1
0.712069,2.102977,7.687414,0.313838,0.200534,-0.111017,1
-0.387394,2.711012,8.991951,-0.162518,0.009599,0.408343,1
0.609532,1.465752,6.747518,-0.175163,0.153567,-0.238755,1
0.950673,1.40423,10.116113,-0.546343,0.047393,-0.06784,1
-0.007634,2.656825,6.327043,-0.244425,0.227606,0.200631,1
0.864752,1.647025,9.852212,-0.414562,-0.375944,0.348894,1
0.273481,2.367776,13.783188,0.107124,-0.011597,-0.205034,1
-1.537153,1.201252,11.229199,-0.08142,-0.050816,0.441465,1
-0.902024,0.213755,12.930411,0.002863,-0.01252,0.022914,1
-1.54359,2.660717,11.644435,-0.210649,0.298693,0.413042,1
-1.041534,3.367996,10.961855,0.238094,0.710924,0.249553,1
-0.896037,0.912802,13.388758,0.078887,-0.038022,0.213742,1
-0.717608,4.184249,11.782598,-0.106095,0.233872,-0.219826,1
-0.166903,-0.662672,13.278288,0.013632,-0.137282,0.155236,1
1.118324,1.836681,8.188721,0.077397,-0.161607,0.326443,1
-0.941542,2.373614,8.661438,0.378636,-0.249566,-0.126083,1
-0.214504,1.571582,9.582024,0.020598,-0.013502,0.034836,1
0.015268,2.013613,11.547886,0.495793,-0.206812,0.202691,1
0.251327,1.878743,6.578221,0.002795,-0.012591,0.026923,1
0.775837,3.743565,13.147909,-0.700385,-0.466525,0.078239,1
0.314496,2.232009,8.736732,-0.371967,-0.029569,0.106073,1
0.378862,2.259551,6.166876,0.259992,0.248657,0.05696,1
-0.712069,2.22168,8.773555,-0.034289,-0.000586,-0.277561,1
0.38485,3.086132,7.757917,0.126536,0.189757,-0.213408,1
0.85128,3.277435,10.196496,0.035428,0.563602,0.131187,1
-0.82688,2.547702,10.119257,0.520255,0.039548,-0.083934,1
-0.530497,1.879941,11.99336,-0.004809,-0.128772,0.036617,1
-0.116757,3.430716,7.173832,-0.217655,0.237333,0.064924,1
0.247435,1.315764,6.950646,0.236172,-0.177483,0.073044,1
-0.038919,3.101401,8.008646,-0.021753,0.138176,-0.431437,1
-0.279768,3.204536,8.085137,-0.117728,-0.37086,-0.122852,1
-0.806074,3.485502,9.484128,-0.264193,-0.136603,0.036854,1
1.496738,1.418899,9.061107,0.123067,0.361344,-0.086533,1
0.063767,2.657723,7.514374,0.206213,0.066851,0.231089,1
-1.097518,1.42354,9.060209,0.243078,-0.28045,-0.057811,1
0.342637,1.281635,7.31439,-0.855347,-0.461555,-0.666936,1
0.371976,0.565374,7.680828,0.070135,0.061967,-0.039987,1
-1.996099,2.761008,12.887001,-0.225045,-0.452959,-0.014789,1
-1.043031,3.293601,11.398197,-0.032547,-0.184955,-0.038355,1
0.671204,3.599116,10.544972,-0.08383,0.75018,-0.028918,1
-0.629291,1.211581,9.591904,0.005263,-0.03225,-0.589743,1
0.33201,3.978277,13.874198,-0.077512,-0.443163,-0.16269,1
-1.469344,2.814597,10.657088,-0.12396,0.108895,0.298877,1
-0.23082,2.790497,12.792398,0.178527,0.089118,0.011705,1
1.179248,1.227897,6.980135,-0.092299,-0.033369,0.234563,1
-0.299078,2.025737,7.351213,0.00221,-0.081639,0.092089,1
1.35588,2.037563,11.256442,-0.075477,-0.034278,-0.220757,1
-0.659529,1.137634,11.508069,0.3559,-0.011287,-0.14681,1
0.582439,0.789009,10.190359,-0.122398,-0.019237,0.069859,1
-0.203277,3.381319,6.716234,-0.099596,-0.012964,-0.328836,1
-0.343685,1.189726,9.548643,0.448825,0.520556,0.248326,1
-0.649948,2.306703,10.518626,0.072805,0.298576,-0.062313,1
0.125589,3.449277,10.719509,0.110732,0.116392,-0.304625,1
-0.106129,3.669469,8.02571,0.236037,0.027222,-0.049912,1
-0.499811,3.090623,8.440797,0.024136,0.233476,0.453398,1
-0.155527,2.296375,9.455088,0.133111,0.205336,0.114041,1
0.974923,1.137934,7.367379,-0.282569,0.198315,-0.272603,1
0.372575,2.419568,6.753356,0.063235,-0.032077,-0.252205,1
0.754581,1.56275,9.346863,0.391609,0.043494,0.159291,1
-0.985251,2.102528,9.296717,-0.100043,0.111255,0.483202,1
-0.440983,3.179089,6.86233,0.104833,-0.040143,0.088995,1
0.482447,0.146545,13.13279,-0.160443,0.016465,-0.02272,1
1.559457,0.148791,9.617949,0.11174,-0.143699,-0.134495,1
0.576601,2.627935,9.114696,-0.099727,-0.116942,0.003915,1
-0.079784,1.518742,11.556418,0.085126,0.08448,0.199154,1
-0.255668,3.132386,11.548934,-0.4681,-0.147856,0.227543,1
0.417182,2.559527,8.769963,-0.041191,-0.043661,-0.078069,1
-0.644859,1.627715,9.134904,-0.008727,0.173277,0.163258,1
0.219294,3.051105,8.950487,0.259592,-0.154137,0.074727,1
-0.311353,2.357448,6.413862,-0.131825,-0.32224,-0.295124,1
0.188608,3.392395,7.729027,-0.267911,-0.372822,-0.117419,1
1.10126,1.207988,11.379037,0.029405,-0.398413,0.392527,1
-0.095501,3.802543,9.028326,0.048525,0.040507,-0.184991,1
1.738335,2.158661,9.273815,0.025623,0.113864,-0.329312,1
-0.082778,3.683989,8.081844,0.084761,-0.088945,-0.097908,1
2.536026,2.003883,11.119028,0.002581,-0.434632,-0.002405,1
-0.635279,2.276616,6.907236,-0.040666,0.053147,0.067477,1
1.588048,1.474584,11.708203,-0.08012,0.167021,-0.159572,1
0.196392,2.085014,7.64101,0.431614,0.004351,-0.245111,1
-0.761916,3.050207,11.797866,0.092831,-0.480635,-0.091991,1
0.963397,2.365381,12.421619,0.197862,0.069031,0.022872,1
-0.116308,3.199896,11.182945,0.178563,-0.219262,0.090073,1
-0.122894,3.115322,9.707613,-0.042491,0.407472,0.562776,1
-1.159639,2.16869,9.078771,-0.253627,0.092682,0.222805,1
-0.14894,2.765948,6.861282,0.481083,0.628631,0.385314,1
-0.516576,4.312083,9.549392,0.049788,-0.308856,-0.048415,1
1.174009,1.489403,10.546319,0.099764,-0.029264,-0.038948,1
0.017514,3.091821,7.741751,0.22383,0.699475,0.145357,1
0.200433,1.967509,6.649622,-0.810376,0.112174,-0.735542,1
-0.114063,2.856061,6.509962,0.061341,-0.148192,-0.050481,1
0.73093,0.569566,11.216625,-0.250273,0.122473,0.179279,1
-0.465382,4.195625,7.965985,0.089749,0.309353,-0.069344,1
-0.51927,3.589086,8.70395,0.079928,0.046705,-0.024783,1
-1.347947,3.291954,11.064242,-0.094662,-0.150352,0.140574,1
-0.129032,1.54374,12.263248,-0.009822,0.019941,0.158387,1
0.659828,-0.434097,10.7237,0.086922,0.13285,-0.221373,1
0.551304,2.005979,12.536879,0.008531,0.071169,-0.187266,1
-0.534538,0.840053,13.045971,0.073317,0.153725,0.226917,1
-0.610431,1.382675,9.604477,0.01574,-0.009685,0.001113,1
-0.10598,2.111509,8.530311,0.048018,0.053385,0.024829,1
0.261806,3.424429,8.906928,0.124089,-0.096898,0.047738,1
0.498613,2.153422,7.420519,0.134121,0.123147,-0.167395,1
-0.882864,4.047733,11.686498,0.193891,0.15936,-0.37391,1
0.860411,2.116299,7.686216,-0.014521,-0.007829,-0.073717,1
0.751737,2.772984,11.364667,-0.856784,0.300694,0.128209,1
1.223705,0.718955,14.594351,0.063997,0.013042,-0.192898,1
-0.724344,2.895429,12.133768,-0.53966,0.007982,-0.027056,1
-0.576601,1.878593,11.943663,0.335957,-0.616062,-0.039916,1
0.008682,0.676593,8.329429,0.346767,0.004055,0.086266,1
-0.261955,3.911516,8.647517,0.026296,-0.039249,-0.091335,1
-0.306712,2.901267,9.919572,0.122371,-0.001283,-0.023642,1
-0.37497,1.311722,9.692345,-0.012423,-0.016933,-0.020634,1
-0.865949,1.23598,12.521461,0.452438,0.355993,-0.140233,1
0.121697,1.156794,6.611302,-0.349545,-0.39469,-0.26096,1
-0.490979,0.582139,8.772807,0.017492,0.015568,0.019867,1
-1.235082,2.354454,8.914263,-0.002222,0.045903,0.11516,1
1.192869,0.352966,13.796959,0.25024,0.372929,0.164202,1
1.11578,2.310894,7.287146,0.414372,-0.488662,-0.058084,1
-0.452509,3.234324,12.136312,0.177924,-0.100576,-0.525869,1
-0.363295,2.809208,7.11201,0.034125,0.050553,-0.200945,1
-0.964744,0.958307,9.928853,-0.355603,-0.130857,0.386317,1
0.005838,3.691474,12.077335,-1.155574,-0.40942,-0.476166,1
0.690963,2.19758,11.971505,0.007497,-0.201489,-0.100934,1
0.787363,3.654949,10.486294,0.137366,-0.452506,-0.086595,1
0.267494,4.826713,11.32006,-0.179492,-0.091432,-0.062771,1
1.384621,1.730402,11.667338,-0.384356,-0.087394,0.256546,1
0.028291,1.108146,7.058572,0.189503,-0.124389,-0.325188,1
