accX,accY,accZ,gyroX,gyroY,gyroZ,Activity
0.941243,1.522634,10.356663,0.318988,-0.158401,0.236934,1
0.060774,1.210982,10.397379,-0.114174,-0.401381,0.044889,1
0.455652,0.660576,10.446027,0.182,-0.049135,-0.128339,1
-0.461939,2.717299,6.432873,0.332038,-0.051119,0.047356,1
-0.371827,0.804277,6.980284,0.303458,0.116389,-0.358129,1
0.326471,3.001259,6.432723,-0.595895,-0.262213,-0.051602,1
-0.152233,3.51993,10.029893,-0.11309,-0.115909,-0.211013,1
-1.29825,1.536704,9.443861,-0.129809,0.092144,-0.046025,1
2.091301,1.548829,10.216255,-1.138778,0.147183,-0.568669,1
0.429158,2.881807,6.643634,0.114071,-0.299209,-0.026089,1
0.260758,3.493286,6.896309,0.182083,0.295119,0.105309,1
-0.567919,2.307302,9.558822,0.244268,0.086885,0.523914,1
-0.064216,2.443668,6.532416,-0.153697,-0.421451,0.134824,1
-0.491428,1.245859,9.861343,0.026428,0.016244,0.021057,1
-0.386347,0.378712,11.959979,-0.075914,0.124919,-0.373981,1
0.59127,0.732726,9.417965,0.084831,-0.095952,0.121566,1
0.34623,1.504072,7.426057,-0.25511,0.049541,-0.194338,1
-0.864303,3.605852,11.30539,-0.00221,0.177598,-0.314833,1
0.346829,1.098116,11.493848,-0.046814,-0.049483,0.235732,1
1.050965,1.48611,11.775563,0.350844,-0.047642,0.05917,1
-1.393153,2.905757,10.630294,-0.363609,-0.330975,0.105162,1
1.41366,0.941841,10.099498,0.04732,0.146937,-0.018666,1
-0.375569,3.178191,6.858138,0.347476,0.117322,0.183787,1
-0.186512,2.489174,12.92607,-0.135265,0.476789,-0.047342,1
-0.0964,1.638942,7.564819,0.416612,-0.083878,-0.116305,1
0.466879,1.496139,13.626164,0.420036,-0.118402,0.07109,1
0.677641,2.330653,8.685688,0.714883,-0.05448,0.186762,1
-0.829725,3.240162,8.265961,0.120645,0.152099,0.186948,1
-0.082329,3.472329,7.135512,0.138857,-0.055107,0.187779,1
1.385519,1.272204,11.972254,0.039736,0.031499,0.335095,1
-1.37055,1.571881,11.161989,0.532546,0.531222,-0.33441,1
0.777483,1.891167,7.993976,0.386394,-0.058306,-0.100152,1
-0.01901,1.710643,9.019644,-0.141646,0.033515,-0.153697,1
-0.490231,2.191593,6.735394,-0.001911,0.10779,-0.161173,1
0.457,2.18336,9.226813,0.352953,0.377879,0.363435,1
-0.724344,3.445086,11.87795,-0.274052,0.175399,0.395082,1
-0.574356,1.015339,12.797787,0.829793,0.107616,-0.142231,1
1.314267,1.177152,6.960526,0.057877,-0.016822,0.348317,1
1.937271,1.166674,10.548414,-0.064072,0.331067,-0.497264,1
0.34638,2.41388,11.528427,0.335175,0.071264,-0.311322,1
-1.051114,3.19795,9.225915,-0.197709,0.302346,0.180261,1
0.249232,2.050735,8.046667,0.088977,-0.51944,0.313714,1
-0.03862,2.737956,10.899584,0.502044,0.238524,0.105631,1
-0.421673,2.643503,9.476793,-0.057657,0.098016,0.079267,1
0.898132,0.429906,9.604328,-0.723948,-0.310574,-0.222209,1
-0.324675,1.721869,10.300979,0.20399,0.601995,0.203287,0
-0.310604,0.959355,10.923385,-0.130735,-0.184023,0.199622,1
-0.696951,3.046465,9.282796,-0.165548,-0.12836,-0.001638,1
-0.290246,-0.152682,10.174941,-0.003272,-0.451145,0.156757,1
-0.595462,3.006797,10.812615,0.206363,-0.19887,-0.119158,1
-1.360221,1.821113,11.0843,-0.257535,-0.047268,0.07231,1
0.208217,4.819677,12.100537,-0.708749,-0.427546,-0.225449,1
-0.600851,3.686384,8.600066,0.292502,-0.015716,0.213036,1
0.290845,2.598447,12.146342,-0.144024,0.227251,0.118301,1
-0.148342,2.804718,6.623726,-0.776305,0.247574,0.052075,1
1.718277,1.026116,7.500902,-0.230353,-0.034125,-0.286812,1
0.253423,0.324525,14.134657,0.066384,-0.058558,0.368438,1
0.130079,3.105592,7.332203,0.144069,0.205792,0.031137,1
-1.387016,1.133293,10.521321,-0.530065,-0.386307,0.074898,1
0.76461,2.11091,13.794564,-0.414066,-0.175862,0.258773,1
0.007634,2.397714,6.750662,-0.159055,0.028707,0.356351,1
-0.342338,2.854414,9.098679,-0.240785,0.322996,-0.327778,1
0.453856,4.009113,9.635313,0.325956,-0.075268,0.04531,1
-0.623154,2.77957,13.309722,0.355017,0.012191,-0.293332,1
-0.299827,1.847309,7.463629,0.427445,-0.023551,-0.052113,1
0.160616,2.694996,9.21364,-0.043943,-0.05418,0.001338,1
-0.15852,3.840863,8.178243,0.25298,0.715466,-0.040672,1
-0.114362,2.044898,6.767427,-0.013586,-0.052447,0.031529,1
-0.161514,2.767894,13.023667,0.022191,-0.059935,-0.136554,1
-0.756377,4.02962,10.949281,0.592146,-0.044243,0.374627,1
0.757425,0.850082,7.842042,0.107371,0.070989,-0.03716,1
0.189955,2.25057,12.657678,0.216194,0.118385,0.233817,1
-0.236508,1.514101,7.632628,0.135275,-0.183619,-0.024645,1
-0.451611,0.402363,12.844789,-0.425327,0.017292,0.54999,1
0.448318,4.529132,8.993897,-0.33822,-0.179774,0.223927,1
0.709674,1.252446,10.043215,-0.959515,-0.188479,-0.43761,1
1.556912,3.324137,11.166329,-0.04957,-0.34315,-0.222002,1
-0.137115,3.367547,8.957822,-0.18092,0.050409,0.042345,1
0.233514,1.316063,14.285543,-0.172263,-0.329272,-0.118319,1
-0.343087,1.966311,9.178014,0.14845,0.033441,-0.183562,1
-0.105231,3.684887,7.410939,0.081345,-0.165739,0.045186,1
-0.690215,1.897005,9.691896,-0.044722,-0.260924,0.127624,1
-0.812959,3.30348,11.62767,-0.282581,0.260633,0.595574,1
0.1443,1.817071,8.024064,0.389461,-0.470436,0.102044,1
1.454675,1.700464,8.205936,1.090394,0.23287,-0.035488,1
-0.161215,1.178948,9.910142,-0.217654,-0.580868,-0.195619,1
0.677491,-0.242346,12.615167,0.033234,-0.024032,-0.087668,1
-0.491129,1.226998,9.880803,-0.310945,-0.663255,0.374553,1
0.061821,4.253255,10.435849,-0.019813,0.217044,-0.000193,1
0.099244,3.016078,6.53047,0.087096,0.065767,-0.21084,1
0.235011,1.324895,11.236683,-0.182845,-0.129575,0.246048,1
